sid,name,date,latitude,longitude,wind_speed,category
1889255N16301,UNNAMED,1889-09-17,19.40,-86.50,95,2
1889273N11308,UNNAMED,1889-10-05,31.70,-66.20,60,0
1889278N20278,UNNAMED,1889-10-06,33.00,-76.50,50,0
1890148N21277,UNNAMED,1890-05-29,24.40,-84.40,50,0
1890231N14298,UNNAMED,1890-08-24,18.10,-81.60,50,0
1890237N13311,UNNAMED,1890-08-27,18.90,-59.50,105,3
1890303N12280,UNNAMED,1890-10-31,13.30,-81.60,80,1
1891184N22267,UNNAMED,1891-07-04,24.90,-94.60,80,1
1891229N11313,UNNAMED,1891-08-19,14.60,-61.10,110,3
1891229N13336,UNNAMED,1891-08-19,14.90,-32.00,65,1
1891240N13339,UNNAMED,1891-09-04,23.40,-66.20,85,2
1891259N20312,UNNAMED,1891-09-20,29.70,-61.40,85,2
1891266N14330,UNNAMED,1891-10-03,29.40,-62.60,85,2
1891278N15281,UNNAMED,1891-10-05,17.00,-80.00,45,0
1891281N18275,UNNAMED,1891-10-12,34.80,-73.70,55,-4
1891286N13299,UNNAMED,1891-10-16,21.80,-65.80,75,1
1891307N24286,UNNAMED,1891-11-04,29.10,-66.80,50,0
1892161N21277,UNNAMED,1892-06-12,28.60,-76.00,45,0
1892227N16308,UNNAMED,1892-08-19,24.80,-67.00,65,1
1892247N12327,UNNAMED,1892-09-07,18.10,-49.40,85,2
1892253N22267,UNNAMED,1892-09-10,25.60,-94.20,50,0
1892256N15341,UNNAMED,1892-09-14,16.90,-27.00,85,2
1892269N20268,UNNAMED,1892-09-26,20.80,-94.90,50,0
1892279N11305,UNNAMED,1892-10-08,11.70,-67.90,85,2
1892287N26289,UNNAMED,1892-10-14,29.10,-66.00,80,1
1892295N23267,UNNAMED,1892-10-22,24.20,-90.60,45,0
1893163N20265,UNNAMED,1893-06-17,38.10,-73.10,65,1
1893185N14282,UNNAMED,1893-07-05,14.90,-83.30,85,2
1893225N12331,UNNAMED,1893-08-22,28.40,-70.30,100,3
1893226N10310,UNNAMED,1893-08-18,21.20,-70.10,105,3
1893228N18340,UNNAMED,1893-08-23,22.10,-60.40,105,3
1893228N32300,UNNAMED,1893-08-17,41.90,-62.70,85,2
1893232N12333,UNNAMED,1893-08-23,16.40,-35.80,85,2
1893247N18275,UNNAMED,1893-09-06,26.40,-93.00,85,2
1893268N12335,UNNAMED,1893-10-02,14.00,-50.00,105,3
1893271N16278,UNNAMED,1893-10-02,28.60,-90.50,115,4
1893294N18278,UNNAMED,1893-10-22,28.80,-77.80,50,0
1893309N27289,UNNAMED,1893-11-08,32.50,-75.90,60,0
1894157N19283,UNNAMED,1894-06-06,19.00,-77.40,35,0
1894216N18274,UNNAMED,1894-08-06,28.20,-87.90,50,0
1894242N13325,UNNAMED,1894-09-06,30.40,-58.90,100,3
1894261N13311,UNNAMED,1894-09-21,15.60,-62.70,105,3
1894270N12284,UNNAMED,1894-10-06,23.70,-87.30,105,3
1894284N11303,UNNAMED,1894-10-16,25.10,-66.70,115,4
1894294N21300,UNNAMED,1894-10-28,45.80,-45.80,95,2
1895226N27269,UNNAMED,1895-08-15,28.20,-90.20,50,0
1895234N13302,UNNAMED,1895-08-29,24.50,-93.80,95,2
1895271N19274,UNNAMED,1895-09-30,23.70,-88.50,50,0
1895275N17277,UNNAMED,1895-10-02,17.40,-82.90,35,0
1895285N12315,UNNAMED,1895-10-17,14.10,-71.50,90,2
1895286N19266,UNNAMED,1895-10-13,19.40,-93.70,35,0
1896187N21279,UNNAMED,1896-07-06,26.30,-86.00,85,2
1896243N14300,UNNAMED,1896-09-05,24.30,-77.60,100,3
1896260N16306,UNNAMED,1896-09-20,22.10,-67.80,85,2
1896266N17298,UNNAMED,1896-09-28,20.70,-85.20,110,3
1896281N23269,UNNAMED,1896-10-11,33.50,-74.70,85,2
1896300N09316,UNNAMED,1896-10-29,13.40,-55.30,85,2
1896332N11299,UNNAMED,1896-11-28,14.00,-62.00,50,0
1897243N13340,UNNAMED,1897-09-03,17.30,-36.90,85,2
1897253N24280,UNNAMED,1897-09-11,25.00,-84.60,75,1
1897262N21270,UNNAMED,1897-09-21,26.80,-82.10,60,0
1897268N20277,UNNAMED,1897-09-27,23.00,-85.50,40,0
1897283N12298,UNNAMED,1897-10-18,20.60,-80.30,70,1
1897296N25283,UNNAMED,1897-10-25,35.90,-73.20,55,0
1898214N27280,UNNAMED,1898-08-02,29.50,-84.70,70,1
1898242N27283,UNNAMED,1898-08-30,30.70,-79.90,75,1
1898246N41318,UNNAMED,1898-09-03,40.80,-42.10,70,1
1898249N11333,UNNAMED,1898-09-11,12.40,-58.40,95,2
1898255N13281,UNNAMED,1898-09-12,12.90,-79.10,50,0
1898264N11280,UNNAMED,1898-09-20,11.00,-79.80,50,0
1898268N16302,UNNAMED,1898-10-02,29.60,-78.70,115,4
1898269N20276,UNNAMED,1898-09-27,26.50,-78.00,45,0
1898275N11302,UNNAMED,1898-10-11,24.70,-79.70,60,0
1898294N19274,UNNAMED,1898-10-22,20.60,-84.70,40,0
1898300N18299,UNNAMED,1898-10-27,17.90,-61.20,50,0
1899178N28267,UNNAMED,1899-06-26,27.50,-93.00,35,0
1899210N17291,UNNAMED,1899-08-01,28.30,-84.10,85,2
1899215N12329,UNNAMED,1899-08-07,16.50,-62.00,130,4
1899241N17303,UNNAMED,1899-09-03,25.70,-69.30,90,2
1899246N13322,UNNAMED,1899-09-09,18.90,-63.60,105,3
1899275N20276,UNNAMED,1899-10-03,24.50,-86.80,50,0
1899284N10325,UNNAMED,1899-10-10,10.00,-35.00,40,0
1899289N26283,UNNAMED,1899-10-16,28.00,-73.50,40,0
1899299N16281,UNNAMED,1899-10-30,28.00,-78.00,95,2
1899311N12282,UNNAMED,1899-11-08,17.00,-76.50,55,0
1900239N15318,UNNAMED,1900-09-07,27.20,-89.70,125,4
1900250N15332,UNNAMED,1900-09-16,26.00,-65.70,105,3
1900252N10342,UNNAMED,1900-09-12,15.90,-29.90,85,2
1900254N20275,UNNAMED,1900-09-11,22.80,-87.60,45,0
1900277N21299,UNNAMED,1900-10-09,26.90,-71.50,60,0
1900283N21269,UNNAMED,1900-10-11,26.10,-89.40,40,0
1900297N15296,UNNAMED,1900-10-27,23.60,-74.80,45,0
1901162N19278,UNNAMED,1901-06-12,22.10,-84.30,35,0
1901183N09306,UNNAMED,1901-07-05,17.80,-74.60,60,0
1901185N10305,UNNAMED,1901-07-10,33.70,-74.20,70,1
1901214N33322,UNNAMED,1901-08-13,27.50,-86.00,80,1
1901231N12307,UNNAMED,1901-08-20,12.30,-60.30,45,0
1901238N16338,UNNAMED,1901-08-27,18.00,-31.00,70,1
1901241N14338,UNNAMED,1901-09-04,21.50,-55.60,90,2
1901252N18309,UNNAMED,1901-09-15,20.50,-81.90,70,1
1901255N11332,UNNAMED,1901-09-14,15.30,-29.60,50,0
1901264N14287,UNNAMED,1901-09-26,21.10,-83.90,45,0
1901278N12309,UNNAMED,1901-10-07,15.00,-55.00,60,0
1901288N21280,UNNAMED,1901-10-16,23.70,-75.00,50,0
1901304N19293,UNNAMED,1901-11-03,30.00,-62.00,70,1
1902164N18276,UNNAMED,1902-06-13,24.90,-83.20,50,0
1902172N17268,UNNAMED,1902-06-26,25.50,-96.90,70,1
1902259N08329,UNNAMED,1902-09-21,24.70,-51.70,85,2
1902276N14266,UNNAMED,1902-10-07,20.00,-92.50,90,2
1902305N20293,UNNAMED,1902-11-03,33.50,-59.20,60,0
1903202N20292,UNNAMED,1903-07-24,34.30,-70.10,70,1
1903218N12318,UNNAMED,1903-08-09,14.90,-64.70,105,3
1903252N21288,UNNAMED,1903-09-13,28.90,-84.80,80,1
1903255N23304,UNNAMED,1903-09-15,34.10,-74.00,85,2
1903262N21288,UNNAMED,1903-09-24,31.40,-74.00,50,0
1903269N23301,UNNAMED,1903-09-28,32.10,-64.20,95,2
1903274N18303,UNNAMED,1903-10-04,30.00,-60.70,85,2
1903278N26288,UNNAMED,1903-10-08,30.50,-66.50,60,0
1903294N21288,UNNAMED,1903-10-24,30.10,-75.10,50,0
1903321N19323,UNNAMED,1903-11-20,29.00,-48.50,70,1
1904163N13280,UNNAMED,1904-06-13,19.40,-77.70,70,1
1904252N16306,UNNAMED,1904-09-15,42.00,-70.30,75,-4
1904272N12280,UNNAMED,1904-10-01,16.70,-83.50,70,1
1904286N15284,UNNAMED,1904-10-17,25.10,-80.10,70,1
1904293N26315,UNNAMED,1904-10-21,25.00,-52.00,45,0
1904306N20269,UNNAMED,1904-11-01,23.10,-91.70,45,0
